category,subtype,article,colour,thickness,size,uom,on_hand,supplier_name,attributes,source_row,source_file,note
LEATHER,,SHEEP DD,BLACK,,,DCM,749,,"{""pcs"": ""8"", ""unit_price"": ""7.5""}",104,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,BEIGE/VANILLA,,,DCM,17744,GLOBAL EXIM,"{""pcs"": ""425"", ""buyer_ref"": ""RICANO-1"", ""unit_price"": ""9""}",112,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,SALVIA,,,DCM,2082,GLOBAL EXIM,"{""pcs"": ""52"", ""buyer_ref"": ""RICANO-2"", ""unit_price"": ""9""}",113,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,MORO,,,DCM,12983,GLOBAL EXIM,"{""pcs"": ""282"", ""buyer_ref"": ""NIPAL"", ""unit_price"": ""9""}",114,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP DD,RED BROWN,,,DCM,3073,SAAD TANNING COMPANY,"{""pcs"": ""63"", ""buyer_ref"": ""RICANO-3"", ""unit_price"": ""7.25""}",115,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP MILADY,BLACK,,,DCM,1015,BISMI LEATHERS,"{""pcs"": ""15"", ""buyer_ref"": ""L.C"", ""unit_price"": ""9""}",116,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,NAVY,,,DCM,567,BLACK ROCK EXPORTS,"{""pcs"": ""135"", ""unit_price"": ""80""}",117,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,LYCRA CRUST,,,,DCM,450,BLACK ROCK EXPORTS,"{""pcs"": ""100"", ""unit_price"": ""100""}",118,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,BROWN,,,DCM,1505,BLACK ROCK EXPORTS,"{""pcs"": ""350"", ""unit_price"": ""90""}",119,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT METALLIC,,,,DCM,2394,BLACK ROCK EXPORTS,"{""pcs"": ""570"", ""unit_price"": ""80""}",120,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,STRETCH NAPPA,,,,DCM,1100,BLACK ROCK EXPORTS,"{""pcs"": ""256"", ""unit_price"": ""130""}",121,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP PERFORATION,GREY,,,DCM,920,BLACK ROCK EXPORTS,"{""pcs"": ""200"", ""unit_price"": ""70""}",122,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,COW NAPPA,TAN,,,DCM,1800,BLACK ROCK EXPORTS,"{""pcs"": ""177"", ""unit_price"": ""160""}",123,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,NAPPA,TAUPE,,,DCM,1200,BLACK ROCK EXPORTS,"{""pcs"": ""240"", ""unit_price"": ""65""}",124,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,NAPPA,TAN,,,DCM,1356,BLACK ROCK EXPORTS,"{""pcs"": ""269"", ""unit_price"": ""65""}",125,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,NAPPA,BLACK,,,DCM,1886,BLACK ROCK EXPORTS,"{""pcs"": ""343"", ""unit_price"": ""60""}",126,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,,,,DCM,1680,BLACK ROCK EXPORTS,"{""pcs"": ""400"", ""unit_price"": ""80""}",127,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT NAPPA,,,,DCM,600,BLACK ROCK EXPORTS,"{""pcs"": ""150"", ""unit_price"": ""90""}",128,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP SUEDE WITH GRAIN,BLACK,,,DCM,550,BLACK ROCK EXPORTS,"{""pcs"": ""124"", ""unit_price"": ""80""}",129,STOCK_LEATHER_TILL_31_03_2026.xlsx,
